word_id,sura,word_index,aya_hafs,status,rasm,missing_in,joined_in,distinct_forms,forms
6471,3,325,20,rasm_variant,والامين,,,5,"وَٱلۡأُمِّيِّۧنَ [hafs,shuba,bazzi]  ||  وَالُامِّيِّۑنَ [warsh]  ||  وَالْأُمِّيِّۑنَ [qaloun]  ||  وَاَلۡأُمِّيِّۧنَ [douri]  ||  وَࡱلۡأُمِّيِّۧنَ [sousi]"
6491,3,345,21,rasm_variant,النبين,,,4,"ٱلنَّبِيِّۧنَ [hafs,shuba,bazzi]  ||  ࡰ۬لنَّبِيِٕٓۑنَ [warsh,qaloun]  ||  اَ۬لنَّبِيِّۧنَ [douri]  ||  ࡱ۬لنَّبِيِّۧنَ [sousi]"
6683,3,537,30,rasm_variant,رءوف,,,2,"رَءُوفُۢ [hafs,warsh,qaloun,bazzi]  ||  رَؤُفُۢ [shuba,douri,sousi]"
6778,3,632,37,rasm_variant,زكرياء,,,4,"زَكَرِيَّا [hafs]  ||  زَكَرِيَّآءَ [shuba]  ||  زَكَرِيَّآءُ࣌ [warsh]  ||  زَكَرِيَّآءُ [qaloun,douri,sousi,bazzi]"
6782,3,636,37,rasm_variant,زكرياء,,,2,"زَكَرِيَّا [hafs]  ||  زَكَرِيَّآءُ [shuba,warsh,qaloun,douri,sousi,bazzi]"
6806,3,660,38,rasm_variant,زكرياء,,,2,"زَكَرِيَّا [hafs]  ||  زَكَرِيَّآءُ [shuba,warsh,qaloun,douri,sousi,bazzi]"
6965,3,819,48,rasm_variant,ويعلمه,,,2,"وَيُعَلِّمُهُ [hafs,shuba,warsh,qaloun]  ||  وَنُعَلِّمُهُ [douri,sousi,bazzi]"
6973,3,827,49,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]"
6993,3,847,49,rasm_variant,وابري,,,2,"وَأُبۡرِئُ [hafs,shuba,douri,sousi,bazzi]  ||  وَأُبْرِۓُ [warsh,qaloun]"
7125,3,979,57,rasm_variant,فنوفيهم,,,5,"فَيُوَفِّيهِمۡ [hafs]  ||  فَنُوَفِّيهِمۡ [shuba,douri,sousi]  ||  فَنُوَفِّيهِمُۥٓ [warsh]  ||  فَنُوَفِّيهِمْ [qaloun]  ||  فَنُوَفِّيهِمُۥ [bazzi]"
7292,3,1146,68,rasm_variant,النبي,,,4,"ٱلنَّبِيُّ [hafs,shuba,bazzi]  ||  ࡰ۬لنَّبِےٓءُ [warsh,qaloun]  ||  اَ۬لنَّبِيُّ [douri]  ||  ࡱ۬لنَّبِيُّ [sousi]"
7357,3,1211,73,rasm_variant,ان,,,3,"أَن [hafs,shuba,douri,sousi]  ||  أَنْ [warsh,qaloun]  ||  ءَࡶن [bazzi]"
7414,3,1268,75,rasm_variant,الامين,,,5,"ٱلۡأُمِّيِّۧنَ [hafs,shuba,bazzi]  ||  ࡴ۬لُامِّيِّۑنَ [warsh]  ||  ࡴ۬لْأُمِّيِّۑنَ [qaloun]  ||  اِ۬لۡأُمِّيِّۧنَ [douri]  ||  ࡵ۬لۡأُمِّيِّۧنَ [sousi]"
7495,3,1349,79,rasm_variant,والنبوه,,,4,"وَٱلنُّبُوَّةَ [hafs,shuba,bazzi]  ||  وَالنُّبُوٓءَةَ [warsh,qaloun]  ||  وَاَلنُّبُوَّةَ [douri]  ||  وَࡱلنُّبُوَّة [sousi]"
7507,3,1361,79,rasm_variant,ربنين,,,2,"رَبَّٰنِيِّۧنَ [hafs,shuba,douri,sousi,bazzi]  ||  رَبَّٰنِيِّۑنَ [warsh,qaloun]"
7520,3,1374,80,rasm_variant,والنبين,,,4,"وَٱلنَّبِيِّۧنَ [hafs,shuba,bazzi]  ||  وَالنَّبِيِٕٓۑنَ [warsh,qaloun]  ||  وَاَلنَّبِيِّۧنَ [douri]  ||  وَࡱلنَّبِيِّۧنَ [sousi]"
7532,3,1386,81,rasm_variant,النبين,,,4,"ٱلنَّبِيِّۧنَ [hafs,shuba,bazzi]  ||  ࡰ۬لنَّبِيِٕٓۑنَ [warsh,qaloun]  ||  اَ۬لنَّبِيِّۧنَ [douri]  ||  ࡱ۬لنَّبِيِّۧنَ [sousi]"
7534,3,1388,81,rasm_variant,ءاتيتكم,,,3,"ءَاتَيۡتُكُم [hafs,shuba,douri,sousi]  ||  ءَاتَيْنَٰكُم [warsh,qaloun]  ||  ءَاتَيۡتُكُمُۥ [bazzi]"
7571,3,1425,83,rasm_variant,تبغون,,,3,"يَبۡغُونَ [hafs,douri,sousi]  ||  تَبۡغُونَ [shuba,bazzi]  ||  تَبْغُونَ [warsh,qaloun]"
7581,3,1435,83,rasm_variant,ترجعون,,,4,"يُرۡجَعُونَ [hafs]  ||  تُرۡجَعُونَ [shuba,douri,sousi,bazzi]  ||  تُرْجَعُونَ࣌ [warsh]  ||  تُرْجَعُونَ [qaloun]"
7583,3,1437,84,rasm_variant,ءامنا,,,2,"ءَامَنَّا [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَّا [warsh]"
7729,3,1583,93,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]"
7733,3,1587,93,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلُ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلُ [warsh,qaloun]"
7777,3,1631,96,rasm_variant,مباركا,,,3,"مُبَارَكࣰا [hafs,shuba,sousi,bazzi]  ||  مُبَٰرَكاࣰ [warsh,qaloun]  ||  مُبَارَكٗا [douri]"
7826,3,1680,99,rasm_variant,ءامن,,,2,"ءَامَنَ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَ [warsh]"
8003,3,1857,110,rasm_variant,ءامن,,,2,"ءَامَنَ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَ [warsh]"
8020,3,1874,111,rasm_variant,الادبار,,,5,"ٱلۡأَدۡبَارَ [hafs,shuba,bazzi]  ||  ࡲ۬لَادْبَٰرَ࣌ [warsh]  ||  ࡲ۬لْأَدْبَٰرَ [qaloun]  ||  اُ۬لۡأَدۡبَارَ [douri]  ||  ࡲ۬لۡأَدۡبَارَ [sousi]"
8089,3,1943,115,rasm_variant,تفعلوا,,,3,"يَفۡعَلُواْ [hafs]  ||  تَفۡعَلُواْ [shuba,douri,sousi,bazzi]  ||  تَفْعَلُواْ [warsh,qaloun]"
8093,3,1947,115,rasm_variant,تكفروه,,,5,"يُكۡفَرُوهُ [hafs]  ||  تُكۡفَرُوهُ [shuba,douri,sousi]  ||  تُكْفَرُوهُ࣌ [warsh]  ||  تُكْفَرُوهُ [qaloun]  ||  تُكۡفَرُوهُۥ [bazzi]"
8220,3,2074,121,rasm_variant,تبوي,,,2,"تُبَوِّئُ [hafs,shuba,douri,sousi,bazzi]  ||  تُبَوِّۓُ [warsh,qaloun]"
8229,3,2083,122,rasm_variant,طايفتان,,,2,"طَّآئِفَتَانِ [hafs,shuba,douri,sousi,bazzi]  ||  طَّآئِفَتَٰنِ [warsh,qaloun]"
8353,3,2207,133,rasm_variant,وسارعوا,,,4,"وَسَارِعُوٓاْ [hafs,shuba,douri]  ||  سَارِعُوٓاْ [warsh]  ||  سَارِعُواْ [qaloun]  ||  وَسَارِعُواْ [sousi,bazzi]"
8551,3,2405,146,rasm_variant,نبي,,,3,"نَّبِيࣲّ [hafs,shuba,sousi,bazzi]  ||  نَّبِےٓءࣲ [warsh,qaloun]  ||  نَّبِيّٖ [douri]"
8782,3,2636,155,rasm_variant,الجمعان,,,4,"ٱلۡجَمۡعَانِ [hafs,shuba,bazzi]  ||  ࡰ۬لْجَمْعَٰنِ [warsh,qaloun]  ||  اَ۬لۡجَمۡعَانِ [douri]  ||  ࡱ۬لۡجَمۡعَانِ [sousi]"
8831,3,2685,156,rasm_variant,تعملون,,,3,"تَعۡمَلُونَ [hafs,shuba,douri,sousi]  ||  تَعْمَلُونَ [warsh,qaloun]  ||  يَعۡمَلُونَ [bazzi]"
8846,3,2700,157,rasm_variant,تجمعون,,,4,"يَجۡمَعُونَ [hafs]  ||  تَجۡمَعُونَ [shuba,douri,sousi,bazzi]  ||  تَجْمَعُونَ࣌ [warsh]  ||  تَجْمَعُونَ [qaloun]"
8851,3,2705,158,rasm_variant,لالي,,,2,"لَإِلَى [hafs,shuba,warsh,qaloun,bazzi]  ||  لَإِاْلَى [douri,sousi]"
8904,3,2758,161,rasm_variant,لنبي,,,2,"لِنَبِيٍّ [hafs,shuba,douri,sousi,bazzi]  ||  لِنَبِےٓءٍ [warsh,qaloun]"
8993,3,2847,166,rasm_variant,الجمعان,,,4,"ٱلۡجَمۡعَانِ [hafs,shuba,bazzi]  ||  ࡰ۬لْجَمْعَٰنِ [warsh,qaloun]  ||  اَ۬لۡجَمۡعَانِ [douri]  ||  ࡱ۬لۡجَمۡعَانِ [sousi]"
