number,surah,index,ayah_hafs,status,rasm,missing_in,written_joined_by,resegmented_in,distinct_forms,forms
4399,2,4370,229,alif_variant,مرٮاں,,,,2,"مَرَّتَانِ [hafs,shubah,bazzi,duri,susi]  ||  مَرَّتَٰنِ [qalun,warsh]"
4561,2,4532,233,alif_variant,الرصاعه,,,,4,"ٱلرَّضَاعَةَ [hafs,shubah,bazzi]  ||  ࡰ۬لرَّضَٰعَةَ [qalun,warsh]  ||  اَ۬لرَّضَاعَةَ [duri]  ||  ࡱ۬لرَّضَاعَةَ [susi]"
4827,2,4798,243,alif_variant,احٮهم,,,,4,"أَحۡيَٰهُمۡ [hafs,shubah,duri,susi]  ||  أَحۡيَٰهُمُۥ [bazzi]  ||  أَحْيَاهُمْ [qalun]  ||  أَحْيٜاهُمُۥٓ [warsh]"
4870,2,4841,246,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
5366,2,5337,259,alif_variant,العطام,,,,4,"ٱلۡعِظَامِ [hafs,shubah,bazzi]  ||  ࡰ۬لْعِظَٰمِ [qalun,warsh]  ||  اَ۬لۡعِظَامِ [duri]  ||  ࡱ۬لۡعِظَامِ [susi]"
5554,2,5525,266,alif_variant,واعٮاٮ,,,,3,"وَأَعۡنَابࣲ [hafs,shubah,bazzi,susi]  ||  وَأَعْنَٰبࣲ [qalun,warsh]  ||  وَأَعۡنَابٖ [duri]"
5738,2,5709,274,alif_variant,وعلاٮٮه,,,,3,"وَعَلَانِيَةࣰ [hafs,shubah,bazzi,susi]  ||  وَعَلَٰنِيَةࣰ [qalun,warsh]  ||  وَعَلَانِيَةٗ [duri]"
5943,2,5914,282,alif_variant,وامراٮاں,,,,4,"وَٱمۡرَأَتَانِ [hafs,shubah,bazzi]  ||  وَامْرَأَتَٰنِ [qalun,warsh]  ||  وَاَمۡرَأَتَانِ [duri]  ||  وَࡱمۡرَأَتَانِ [susi]"
6973,3,827,49,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
7729,3,1583,93,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
7733,3,1587,93,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلُ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلُ [qalun,warsh]"
7777,3,1631,96,alif_variant,مٮاركا,,,,3,"مُبَارَكࣰا [hafs,shubah,bazzi,susi]  ||  مُبَٰرَكاࣰ [qalun,warsh]  ||  مُبَارَكٗا [duri]"
8020,3,1874,111,alif_variant,الادٮار,,,,5,"ٱلۡأَدۡبَارَ [hafs,shubah,bazzi]  ||  ࡲ۬لْأَدْبَٰرَ [qalun]  ||  ࡲ۬لَادْبَٰرَ [warsh]  ||  اُ۬لۡأَدۡبَارَ [duri]  ||  ࡲ۬لۡأَدۡبَارَ [susi]"
8229,3,2083,122,alif_variant,طاٮڡٮاں,,,,2,"طَّآئِفَتَانِ [hafs,shubah,bazzi,duri,susi]  ||  طَّآئِفَتَٰنِ [qalun,warsh]"
8353,3,2207,133,rasm_variant,وسارعوا,,,,4,"وَسَارِعُوٓاْ [hafs,shubah,duri]  ||  وَسَارِعُواْ [bazzi,susi]  ||  سَارِعُواْ [qalun]  ||  سَارِعُوٓاْ [warsh]"
8782,3,2636,155,alif_variant,الحمعاں,,,,4,"ٱلۡجَمۡعَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْجَمْعَٰنِ [qalun,warsh]  ||  اَ۬لۡجَمۡعَانِ [duri]  ||  ࡱ۬لۡجَمۡعَانِ [susi]"
8851,3,2705,158,rasm_variant,لالى,,,,2,"لَإِلَى [hafs,shubah,bazzi,qalun,warsh]  ||  لَإِاْلَى [duri,susi]"
8993,3,2847,166,alif_variant,الحمعاں,,,,4,"ٱلۡجَمۡعَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْجَمْعَٰنِ [qalun,warsh]  ||  اَ۬لۡجَمۡعَانِ [duri]  ||  ࡱ۬لۡجَمۡعَانِ [susi]"
9294,3,3148,182,alif_variant,ٮطلام,,,,3,"بِظَلَّامࣲ [hafs,shubah,bazzi,susi]  ||  بِظَلَّٰمࣲ [qalun,warsh]  ||  بِظَلَّامٖ [duri]"
9771,4,144,7,alif_variant,الولداں,,,,4,"ٱلۡوَٰلِدَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْوَٰلِدَٰنِ [qalun,warsh]  ||  اَ۬لۡوَٰلِدَانِ [duri]  ||  ࡱ۬لۡوَٰلِدَانِ [susi]"
9777,4,150,7,alif_variant,الولداں,,,,4,"ٱلۡوَٰلِدَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْوَٰلِدَٰنِ [qalun,warsh]  ||  اَ۬لۡوَٰلِدَانِ [duri]  ||  ࡱ۬لۡوَٰلِدَانِ [susi]"
9866,4,239,11,alif_variant,اٮواه,,,,3,"أَبَوَاهُ [hafs,shubah,duri,susi]  ||  أَبَوَاهُۥ [bazzi]  ||  أَبَوَٰهُ [qalun,warsh]"
10039,4,412,16,alif_variant,والداں,,,,5,"وَٱلَّذَانِ [hafs,shubah]  ||  وَٱلَّذَآنِّ [bazzi]  ||  وَالذَٰنِ [qalun,warsh]  ||  وَاَلَّذَانِ [duri]  ||  وَࡱلَّذَانِ [susi]"
10445,4,818,33,alif_variant,الولداں,,,,4,"ٱلۡوَٰلِدَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْوَٰلِدَٰنِ [qalun,warsh]  ||  اَ۬لۡوَٰلِدَانِ [duri]  ||  ࡱ۬لۡوَٰلِدَانِ [susi]"
10538,4,911,36,alif_variant,والصاحٮ,,,,4,"وَٱلصَّاحِبِ [hafs,shubah,bazzi]  ||  وَالصَّٰحِبِ [qalun,warsh]  ||  وَاَلصَّاحِبِ [duri]  ||  وَࡱلصَّاحِب [susi]"
10768,4,1141,47,alif_variant,ادٮارها,,,,6,"أَدۡبَارِهَآ [hafs,shubah]  ||  أَدۡبَارِهَا [bazzi]  ||  أَدْبَٰرِهَا [qalun]  ||  أَدْبٰٜرِهَآ [warsh]  ||  أَدۡب۪ارِهَآ [duri]  ||  أَدۡبٜارِهَا [susi]"
11634,4,2007,91,word_boundary,ما,,,qalun|duri,1,"مَا [hafs,shubah,bazzi,qalun,warsh,duri,susi]"
11635,4,2008,91,word_boundary,ردوا,,,qalun|duri,2,"رُدُّوٓاْ [hafs,shubah,warsh,duri]  ||  رُدُّواْ [bazzi,qalun,susi]"
13354,4,3727,176,alif_variant,الٮلٮاں,,,,4,"ٱلثُّلُثَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لثُّلُثَٰنِ [qalun,warsh]  ||  اَ۬لثُّلُثَانِ [duri]  ||  ࡱ۬لثُّلُثَانِ [susi]"
13736,5,362,12,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
13822,5,448,14,alif_variant,العداوه,,,,4,"ٱلۡعَدَاوَةَ [hafs,shubah,bazzi]  ||  ࡲ۬لْعَدَٰوَةَ [qalun,warsh]  ||  اُ۬لۡعَدَاوَةَ [duri]  ||  ࡲ۬لۡعَدَاوَةَ [susi]"
14007,5,633,21,alif_variant,ادٮاركم,,,,6,"أَدۡبَارِكُمۡ [hafs,shubah]  ||  أَدۡبَارِكُمُۥ [bazzi]  ||  أَدْبَٰرِكُمْ [qalun]  ||  أَدْبٰٜرِكُمْ [warsh]  ||  أَدۡب۪ارِكُمۡ [duri]  ||  أَدۡبٜارِكُمۡ [susi]"
14028,5,654,23,alif_variant,رحلاں,,,,3,"رَجُلَانِ [hafs,shubah,bazzi,duri]  ||  رَجُلَٰنِ [qalun,warsh]  ||  رَّجُلَانِ [susi]"
14184,5,810,32,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
14726,5,1352,53,rasm_variant,وٮڡول,,,,3,"وَيَقُولُ [hafs,shubah]  ||  يَقُولُ [bazzi,qalun,warsh]  ||  وَيَقُولَ [duri,susi]"
14745,5,1371,54,rasm_variant,ٮرٮد,,,,2,"يَرۡتَدَّ [hafs,shubah,bazzi,duri,susi]  ||  يَّرْتَدِدْ [qalun,warsh]"
14768,5,1394,54,alif_variant,لاٮم,,,,3,"لَآئِمࣲ [hafs,shubah,bazzi,susi]  ||  لَٰٓئِمࣲ [qalun,warsh]  ||  لَآئِمٖ [duri]"
14937,5,1563,64,alif_variant,ٮداه,,,,3,"يَدَاهُ [hafs,shubah,duri,susi]  ||  يَدَاهُۥ [bazzi]  ||  يَدَٰهُ [qalun,warsh]"
14938,5,1564,64,alif_variant,مٮسوطٮاں,,,,2,"مَبۡسُوطَتَانِ [hafs,shubah,bazzi,duri,susi]  ||  مَبْسُوطَتَٰنِ [qalun,warsh]"
15087,5,1713,70,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
15134,5,1760,72,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
15201,5,1827,75,alif_variant,ٮاكلاں,,,,4,"يَأۡكُلَانِ [hafs,shubah,bazzi,duri]  ||  يَأْكُلَٰنِ [qalun]  ||  يَاكُلَٰنِ [warsh]  ||  يَاكُلَانِ [susi]"
15256,5,1882,78,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
15806,5,2432,106,alif_variant,اٮٮاں,,,,4,"ٱثۡنَانِ [hafs,shubah,bazzi]  ||  ࡴٜثْنَٰنِ [qalun,warsh]  ||  اِ۪ثۡنَانِ [duri]  ||  ࡵٜثۡنَانِ [susi]"
15811,5,2437,106,alif_variant,احراں,,,,3,"ءَاخَرَانِ [hafs,shubah,bazzi,duri,susi]  ||  ءَاخَرَٰنِ [qalun]  ||  اٰخَرَٰنِ [warsh]"
15826,5,2452,106,alif_variant,ڡٮڡسماں,,,,2,"فَيُقۡسِمَانِ [hafs,shubah,bazzi,duri,susi]  ||  فَيُقْسِمَٰنِ [qalun,warsh]"
15852,5,2478,107,alif_variant,ڡاحراں,,,,2,"فََٔاخَرَانِ [hafs,shubah,bazzi,duri,susi]  ||  فََٔاخَرَٰنِ [qalun,warsh]"
15853,5,2479,107,alif_variant,ٮڡوماں,,,,2,"يَقُومَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَقُومَٰنِ [qalun,warsh]"
15860,5,2486,107,alif_variant,ڡٮڡسماں,,,,2,"فَيُقۡسِمَانِ [hafs,shubah,bazzi,duri,susi]  ||  فَيُقْسِمَٰنِ [qalun,warsh]"
15958,5,2584,110,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
17215,6,1037,63,rasm_variant,اٮحٮٮٮا,,,,4,"أَنجَىٰنَا [hafs,shubah]  ||  أَنجَيۡتَنَا [bazzi,duri,susi]  ||  أَنجَيْتَنَا [qalun]  ||  ࡰنجَيْتَنَا [warsh]"
17721,6,1543,92,alif_variant,مٮارك,,,,3,"مُبَارَكࣱ [hafs,shubah,bazzi,susi]  ||  مُبَٰرَكࣱ [qalun,warsh]  ||  مُبَارَكٞ [duri]"
17820,6,1642,95,alif_variant,ڡالٯ,,,,2,"فَالِقُ [hafs,shubah,bazzi,duri,susi]  ||  فَٰلِقُ [qalun,warsh]"
17842,6,1664,96,alif_variant,حسٮاٮا,,,,3,"حُسۡبَانࣰا [hafs,shubah,bazzi,susi]  ||  حُسْبَٰناࣰ [qalun,warsh]  ||  حُسۡبَانٗا [duri]"
17902,6,1724,99,alif_variant,اعٮاٮ,,,,4,"أَعۡنَابࣲ [hafs,shubah,bazzi,susi]  ||  أَعْنَٰبࣲ [qalun]  ||  ࡰعْنَٰبࣲ [warsh]  ||  أَعۡنَابٖ [duri]"
18334,6,2156,124,rasm_variant,رسلٮه,,,,3,"رِسَالَتَهُۥ [hafs,bazzi]  ||  رِسَٰلَٰتِهِۦ [shubah,qalun,warsh,duri]  ||  رِّسَٰلَٰتِهِۦ [susi]"
19020,6,2842,155,alif_variant,مٮارك,,,,3,"مُبَارَكࣱ [hafs,shubah,bazzi,susi]  ||  مُبَٰرَكࣱ [qalun,warsh]  ||  مُبَارَكٞ [duri]"
19466,7,238,22,alif_variant,ٮحصڡاں,,,,2,"يَخۡصِفَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَخْصِفَٰنِ [qalun,warsh]"
19696,7,468,34,rasm_variant,ٮسٮاحروں,,,,4,"يَسۡتَأۡخِرُونَ [hafs,shubah,bazzi,duri]  ||  يَسْتَْٔخِرُونَ [qalun]  ||  يَسْتَٰخِرُونَ [warsh]  ||  يَسۡتَاخِرُونَ [susi]"
20117,7,889,54,alif_variant,ٮٮارك,,,,2,"تَبَارَكَ [hafs,shubah,bazzi,duri,susi]  ||  تَبَٰرَكَ [qalun,warsh]"
20930,7,1702,105,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
21234,7,2006,134,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
21269,7,2041,137,rasm_variant,كلمٮ,,,,2,"كَلِمَتُ [hafs,shubah,bazzi,duri,susi]  ||  كَلِمَةُ [qalun,warsh]"
21274,7,2046,137,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
21288,7,2060,138,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
21416,7,2188,144,rasm_variant,ٮرسلٮى,,,,3,"بِرِسَٰلَٰتِي [hafs,shubah,duri,susi]  ||  بِرِسَالَتِي [bazzi]  ||  بِرِسَالَتِے [qalun,warsh]"
22212,7,2984,184,alif_variant,ٮصاحٮهم,,,,3,"بِصَاحِبِهِم [hafs,shubah,duri,susi]  ||  بِصَاحِبِهِمُۥ [bazzi]  ||  بِصَٰحِبِهِم [qalun,warsh]"
22757,8,209,15,alif_variant,الادٮار,,,,5,"ٱلۡأَدۡبَارَ [hafs,shubah,bazzi]  ||  ࡲ۬لْأَدْبَٰرَ [qalun]  ||  ࡲ۬لَادْبَٰرَ [warsh]  ||  اُ۬لۡأَدۡبَارَ [duri]  ||  ࡲ۬لۡأَدۡبَارَ [susi]"
23166,8,618,41,alif_variant,الحمعاں,,,,4,"ٱلۡجَمۡعَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْجَمْعَٰنِ [qalun,warsh]  ||  اَ۬لۡجَمۡعَانِ [duri]  ||  ࡱ۬لۡجَمۡعَانِ [susi]"
23200,8,652,42,rasm_variant,حٮى,,,,4,"حَيَّ [hafs,duri,susi]  ||  حَِۧيَ [shubah,bazzi]  ||  حَۑِيَ [qalun]  ||  حَيِيَ [warsh]"
23305,8,757,48,alif_variant,الڡٮٮاں,,,,4,"ٱلۡفِئَتَانِ [hafs,shubah,bazzi]  ||  ࡴ۬لْفِئَتَٰنِ [qalun,warsh]  ||  اِ۬لۡفِئَتَانِ [duri]  ||  ࡵ۬لۡفِئَتَان [susi]"
